time	V(n001)	V(n002)	V(n003)	V(n004)	V(n005)	V(n006)	V(n007)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
1.947211361975580e-007	-1.155947e-003	-1.155766e-003	-1.223318e-003	2.643141e-003	2.643141e-003	5.057968e-008	-1.223472e-003
3.894422723951160e-007	-2.311621e-003	-2.310903e-003	-2.446323e-003	5.284845e-003	5.284845e-003	2.017964e-007	-2.446938e-003
5.841634085926740e-007	-3.467019e-003	-3.465412e-003	-3.669014e-003	7.925110e-003	7.925110e-003	4.536502e-007	-3.670398e-003
7.788845447902320e-007	-4.622144e-003	-4.619292e-003	-4.891392e-003	1.056394e-002	1.056394e-002	8.061411e-007	-4.893850e-003
9.736056809877901e-007	-5.776995e-003	-5.772543e-003	-6.113457e-003	1.320133e-002	1.320133e-002	1.259269e-006	-6.117297e-003
1.168326817185348e-006	-6.931571e-003	-6.925165e-003	-7.335208e-003	1.583728e-002	1.583728e-002	1.813034e-006	-7.340737e-003
1.363047953382906e-006	-8.085873e-003	-8.077159e-003	-8.556646e-003	1.847179e-002	1.847179e-002	2.467436e-006	-8.564170e-003
1.699904028853295e-006	-1.008207e-002	-1.006855e-002	-1.066890e-002	2.302593e-002	2.302593e-002	3.836421e-006	-1.068059e-002
2.118389676249742e-006	-1.256082e-002	-1.253987e-002	-1.329165e-002	2.867764e-002	2.867763e-002	5.955306e-006	-1.330981e-002
2.641650251375903e-006	-1.565830e-002	-1.562581e-002	-1.656893e-002	3.573493e-002	3.573492e-002	9.255801e-006	-1.659716e-002
3.292778687632845e-006	-1.950975e-002	-1.945945e-002	-2.064373e-002	4.450215e-002	4.450214e-002	1.437146e-005	-2.068755e-002
4.106209366908342e-006	-2.431653e-002	-2.423867e-002	-2.572890e-002	5.543184e-002	5.543180e-002	2.233056e-005	-2.579700e-002
5.119592621534860e-006	-3.029741e-002	-3.017707e-002	-3.205565e-002	6.901247e-002	6.901241e-002	3.467682e-005	-3.216139e-002
6.385201730405275e-006	-3.775491e-002	-3.756906e-002	-3.994356e-002	8.591732e-002	8.591720e-002	5.387108e-005	-4.010784e-002
7.963470396397325e-006	-4.703538e-002	-4.674887e-002	-4.975842e-002	1.069108e-001	1.069106e-001	8.365776e-005	-5.001352e-002
9.934949427274577e-006	-5.859650e-002	-5.815550e-002	-6.198331e-002	1.329968e-001	1.329964e-001	1.299414e-004	-6.237956e-002
1.239608191169044e-005	-7.297737e-002	-7.230027e-002	-7.718694e-002	1.653447e-001	1.653438e-001	2.017766e-004	-7.780225e-002
1.547261550911337e-005	-9.086844e-002	-8.983163e-002	-9.609720e-002	2.054375e-001	2.054357e-001	3.133451e-004	-9.705272e-002
1.931872543246726e-005	-1.130911e-001	-1.115093e-001	-1.195793e-001	2.550125e-001	2.550091e-001	4.864874e-004	-1.210628e-001
2.413357916960000e-005	-1.406671e-001	-1.382639e-001	-1.487082e-001	3.161982e-001	3.161916e-001	7.552532e-004	-1.510113e-001
3.016614126058138e-005	-1.747972e-001	-1.711662e-001	-1.847458e-001	3.914429e-001	3.914300e-001	1.172169e-003	-1.883203e-001
3.773857406624576e-005	-2.169053e-001	-2.114558e-001	-2.291864e-001	4.835818e-001	4.835568e-001	1.818797e-003	-2.347327e-001
4.726246071553593e-005	-2.686584e-001	-2.605661e-001	-2.837774e-001	5.958930e-001	5.958449e-001	2.809390e-003	-2.923445e-001
5.702808571553593e-005	-3.201942e-001	-3.090513e-001	-3.381090e-001	7.067748e-001	7.066925e-001	4.020590e-003	-3.503696e-001
6.679371071553593e-005	-3.699380e-001	-3.554519e-001	-3.905220e-001	8.128892e-001	8.127596e-001	5.430596e-003	-4.070823e-001
7.655933571553592e-005	-4.177023e-001	-3.996457e-001	-4.408218e-001	9.139568e-001	9.137648e-001	7.031151e-003	-4.622629e-001
8.632496071553592e-005	-4.633161e-001	-4.415231e-001	-4.888312e-001	1.009727e+000	1.009456e+000	8.812218e-003	-5.157036e-001
9.609058571553591e-005	-5.066164e-001	-4.809762e-001	-5.343811e-001	1.099953e+000	1.099584e+000	1.076331e-002	-5.672034e-001
1.058562107155359e-004	-5.474485e-001	-5.179002e-001	-5.773110e-001	1.184395e+000	1.183908e+000	1.287351e-002	-6.165683e-001
1.156218357155359e-004	-5.856667e-001	-5.521950e-001	-6.174696e-001	1.262824e+000	1.262197e+000	1.513148e-002	-6.636125e-001
1.253874607155359e-004	-6.211352e-001	-5.837655e-001	-6.547157e-001	1.335023e+000	1.334233e+000	1.752547e-002	-7.081591e-001
1.351530857155359e-004	-6.537280e-001	-6.125232e-001	-6.889186e-001	1.400790e+000	1.399811e+000	2.004337e-002	-7.500404e-001
1.449187107155359e-004	-6.833299e-001	-6.383867e-001	-7.199585e-001	1.459938e+000	1.458745e+000	2.267273e-002	-7.890987e-001
1.546843357155359e-004	-7.098370e-001	-6.612828e-001	-7.477275e-001	1.512299e+000	1.510866e+000	2.540079e-002	-8.251870e-001
1.644499607155359e-004	-7.331566e-001	-6.811466e-001	-7.721294e-001	1.557726e+000	1.556025e+000	2.821451e-002	-8.581694e-001
1.742155857155359e-004	-7.532079e-001	-6.979228e-001	-7.930805e-001	1.596092e+000	1.594094e+000	3.110062e-002	-8.879219e-001
1.839812107155360e-004	-7.699223e-001	-7.115656e-001	-8.105100e-001	1.627292e+000	1.624968e+000	3.404566e-002	-9.143324e-001
1.937468357155360e-004	-7.832438e-001	-7.220393e-001	-8.243599e-001	1.651244e+000	1.648565e+000	3.703602e-002	-9.373016e-001
2.132780857155360e-004	-7.995466e-001	-7.333902e-001	-8.411558e-001	1.677203e+000	1.673722e+000	4.309777e-002	-9.725836e-001
2.328093357155360e-004	-8.019230e-001	-7.319049e-001	-8.432737e-001	1.673806e+000	1.669402e+000	4.917572e-002	-9.932369e-001
2.523405857155360e-004	-7.903876e-001	-7.176909e-001	-8.307369e-001	1.641300e+000	1.635852e+000	5.516028e-002	-9.989510e-001
2.718718357155360e-004	-7.651627e-001	-6.910359e-001	-8.037875e-001	1.580342e+000	1.573732e+000	6.094395e-002	-9.896400e-001
2.914030857155360e-004	-7.266754e-001	-6.524051e-001	-7.628819e-001	1.491997e+000	1.484112e+000	6.642288e-002	-9.654438e-001
3.109343357155361e-004	-6.755508e-001	-6.024377e-001	-7.086855e-001	1.377725e+000	1.368460e+000	7.149832e-002	-9.267266e-001
3.304655857155361e-004	-6.126030e-001	-5.419375e-001	-6.420616e-001	1.239366e+000	1.228624e+000	7.607809e-002	-8.740704e-001
3.499968357155361e-004	-5.388229e-001	-4.718629e-001	-5.640593e-001	1.079112e+000	1.066806e+000	8.007789e-002	-8.082674e-001
3.695280857155361e-004	-4.553632e-001	-3.933129e-001	-4.758974e-001	8.994741e-001	8.855320e-001	8.342259e-002	-7.303073e-001
3.890593357155361e-004	-3.635212e-001	-3.075112e-001	-3.789465e-001	7.032528e-001	6.876142e-001	8.604726e-002	-6.413628e-001
3.988249607155361e-004	-3.148969e-001	-2.623032e-001	-3.276399e-001	5.998658e-001	5.833611e-001	8.707234e-002	-5.931835e-001
4.085905857155362e-004	-2.647191e-001	-2.157885e-001	-2.747083e-001	4.934906e-001	4.761107e-001	8.789820e-002	-5.427715e-001
4.183562107155362e-004	-2.131816e-001	-1.681470e-001	-2.203560e-001	3.845384e-001	3.662760e-001	8.852001e-002	-4.903167e-001
4.281218357155362e-004	-1.604832e-001	-1.195626e-001	-1.647929e-001	2.734299e-001	2.542799e-001	8.893369e-002	-4.360165e-001
4.378874607155362e-004	-1.068272e-001	-7.022276e-002	-1.082331e-001	1.605937e-001	1.405529e-001	8.913603e-002	-3.800752e-001
4.476530857155362e-004	-5.242035e-002	-2.031758e-002	-5.089478e-002	4.646472e-002	2.553215e-002	8.912458e-002	-3.227033e-001
4.574187107155362e-004	2.527878e-003	2.996070e-002	7.001378e-003	-6.851754e-002	-9.034065e-002	8.889776e-002	-2.641169e-001
4.671843357155362e-004	5.780595e-002	8.041853e-002	6.523247e-002	-1.839104e-001	-2.066207e-001	8.845478e-002	-2.045364e-001
4.769499607155362e-004	1.132012e-001	1.308618e-001	1.235744e-001	-2.992699e-001	-3.228619e-001	8.779571e-002	-1.441861e-001
4.867155857155362e-004	1.685004e-001	1.810964e-001	1.818029e-001	-4.141524e-001	-4.386183e-001	8.692143e-002	-8.329310e-002
4.964812107155362e-004	2.234911e-001	2.309292e-001	2.396938e-001	-5.281159e-001	-5.534461e-001	8.583368e-002	-2.208660e-002
5.062468357155362e-004	2.779617e-001	2.801686e-001	2.970246e-001	-6.407224e-001	-6.669047e-001	8.453498e-002	3.920303e-002
5.160124607155362e-004	3.317027e-001	3.286253e-001	3.535748e-001	-7.515388e-001	-7.785593e-001	8.302869e-002	1.003451e-001
5.355437107155362e-004	4.361733e-001	4.224489e-001	4.634674e-001	-9.661055e-001	-9.947523e-001	7.941076e-002	2.212675e-001
5.550749607155362e-004	5.352969e-001	5.109580e-001	5.676826e-001	-1.168519e+000	-1.198711e+000	7.502238e-002	3.388619e-001
5.746062107155362e-004	6.275492e-001	5.927913e-001	6.646172e-001	-1.355664e+000	-1.387308e+000	6.991793e-002	4.513595e-001
5.941374607155363e-004	7.115095e-001	6.666887e-001	7.527786e-001	-1.524662e+000	-1.557648e+000	6.416281e-002	5.570681e-001
6.136687107155363e-004	7.858829e-001	7.315102e-001	8.308071e-001	-1.672903e+000	-1.707110e+000	5.783245e-002	6.543980e-001
6.331999607155363e-004	8.495195e-001	7.862530e-001	8.974957e-001	-1.798095e+000	-1.833392e+000	5.101122e-002	7.418851e-001
6.527312107155363e-004	9.014312e-001	8.300664e-001	9.518092e-001	-1.898293e+000	-1.934539e+000	4.379109e-002	8.182136e-001
6.722624607155363e-004	9.408074e-001	8.622651e-001	9.928989e-001	-1.971929e+000	-2.008976e+000	3.627030e-002	8.822353e-001
6.917937107155363e-004	9.670265e-001	8.823386e-001	1.020116e+000	-2.017836e+000	-2.055531e+000	2.855181e-002	9.329875e-001
7.113249607155364e-004	9.796653e-001	8.899599e-001	1.033021e+000	-2.035265e+000	-2.073454e+000	2.074183e-002	9.697066e-001
7.308562107155364e-004	9.785060e-001	8.849896e-001	1.031390e+000	-2.023898e+000	-2.062424e+000	1.294812e-002	9.918405e-001
7.503874607155364e-004	9.635384e-001	8.674783e-001	1.015219e+000	-1.983851e+000	-2.022559e+000	5.278464e-003	9.990561e-001
7.601530857155364e-004	9.509305e-001	8.540872e-001	1.001739e+000	-1.953227e+000	-1.991969e+000	1.523419e-003	9.970268e-001
7.699187107155364e-004	9.349611e-001	8.376656e-001	9.847226e-001	-1.915672e+000	-1.954411e+000	-2.161041e-003	9.912450e-001
7.796843357155364e-004	9.156870e-001	8.182721e-001	9.642291e-001	-1.871321e+000	-1.910020e+000	-5.762172e-003	9.817323e-001
7.894499607155364e-004	8.931776e-001	7.959770e-001	9.403325e-001	-1.820334e+000	-1.858958e+000	-9.267531e-003	9.685246e-001
7.992155857155364e-004	8.675144e-001	7.708614e-001	9.131195e-001	-1.762896e+000	-1.801410e+000	-1.266503e-002	9.516717e-001
8.089812107155365e-004	8.387910e-001	7.430171e-001	8.826892e-001	-1.699219e+000	-1.737590e+000	-1.594295e-002	9.312368e-001
8.187468357155365e-004	8.071122e-001	7.125461e-001	8.491528e-001	-1.629534e+000	-1.667730e+000	-1.909005e-002	9.072970e-001
8.285124607155365e-004	7.725942e-001	6.795604e-001	8.126334e-001	-1.554098e+000	-1.592088e+000	-2.209553e-002	8.799423e-001
8.382780857155365e-004	7.353640e-001	6.441814e-001	7.732652e-001	-1.473190e+000	-1.510944e+000	-2.494914e-002	8.492757e-001
8.480437107155365e-004	6.955586e-001	6.065397e-001	7.311931e-001	-1.387106e+000	-1.424598e+000	-2.764116e-002	8.154126e-001
8.578093357155365e-004	6.533250e-001	5.667744e-001	6.865726e-001	-1.296166e+000	-1.333369e+000	-3.016250e-002	7.784805e-001
8.675749607155365e-004	6.088191e-001	5.250325e-001	6.395682e-001	-1.200706e+000	-1.237595e+000	-3.250467e-002	7.386184e-001
8.773405857155365e-004	5.622056e-001	4.814686e-001	5.903541e-001	-1.101079e+000	-1.137632e+000	-3.465987e-002	6.959763e-001
8.871062107155365e-004	5.136569e-001	4.362442e-001	5.391122e-001	-9.976544e-001	-1.033851e+000	-3.662097e-002	6.507146e-001
8.968718357155365e-004	4.633532e-001	3.895269e-001	4.860326e-001	-8.908157e-001	-9.266368e-001	-3.838157e-002	6.030039e-001
9.066374607155365e-004	4.114807e-001	3.414901e-001	4.313121e-001	-7.809596e-001	-8.163888e-001	-3.993601e-002	5.530235e-001
9.164030857155365e-004	3.582321e-001	2.923122e-001	3.751537e-001	-6.684937e-001	-7.035167e-001	-4.127940e-002	5.009617e-001
9.261687107155366e-004	3.038051e-001	2.421758e-001	3.177659e-001	-5.538361e-001	-5.884404e-001	-4.240762e-002	4.470145e-001
9.359343357155366e-004	2.484017e-001	1.912674e-001	2.593618e-001	-4.374126e-001	-4.715881e-001	-4.331737e-002	3.913847e-001
9.456999607155366e-004	1.922279e-001	1.397761e-001	2.001585e-001	-3.196563e-001	-3.533949e-001	-4.400615e-002	3.342819e-001
9.554655857155366e-004	1.354923e-001	8.789336e-002	1.403759e-001	-2.010048e-001	-2.343009e-001	-4.447227e-002	2.759208e-001
9.652312107155366e-004	7.840598e-002	3.581226e-002	8.023643e-002	-8.189968e-002	-1.147496e-001	-4.471489e-002	2.165213e-001
9.749968357155366e-004	2.118119e-002	-1.627349e-002	1.996361e-002	3.721613e-002	4.813668e-003	-4.473399e-002	1.563069e-001
9.847624607155366e-004	-3.596926e-002	-6.817012e-002	-4.021838e-002	1.558994e-001	1.239435e-001	-4.453037e-002	9.550413e-002
9.945280857155366e-004	-9.283277e-002	-1.196845e-001	-1.000857e-001	2.737085e-001	2.421960e-001	-4.410567e-002	3.434194e-002
1.004293710715537e-003	-1.491978e-001	-1.706249e-001	-1.594156e-001	3.902051e-001	3.591306e-001	-4.346235e-002	-2.694952e-002
1.014059335715537e-003	-2.048547e-001	-2.208018e-001	-2.179874e-001	5.049555e-001	4.743116e-001	-4.260370e-002	-8.813956e-002
1.023824960715537e-003	-2.595964e-001	-2.700286e-001	-2.755831e-001	6.175330e-001	5.873099e-001	-4.153378e-002	-1.489978e-001
1.033590585715537e-003	-3.132193e-001	-3.181219e-001	-3.319887e-001	7.275185e-001	6.977046e-001	-4.025745e-002	-2.092953e-001
1.043356210715537e-003	-3.655240e-001	-3.649030e-001	-3.869943e-001	8.345029e-001	8.050843e-001	-3.878033e-002	-2.688051e-001
1.053121835715537e-003	-4.163158e-001	-4.101977e-001	-4.403953e-001	9.380883e-001	9.090494e-001	-3.710881e-002	-3.273031e-001
1.062887460715537e-003	-4.654060e-001	-4.538378e-001	-4.919931e-001	1.037889e+000	1.009212e+000	-3.524998e-002	-3.845693e-001
1.072653085715537e-003	-5.126122e-001	-4.956609e-001	-5.415961e-001	1.133535e+000	1.105201e+000	-3.321162e-002	-4.403880e-001
1.082418710715537e-003	-5.577588e-001	-5.355116e-001	-5.890200e-001	1.224671e+000	1.196657e+000	-3.100220e-002	-4.945492e-001
1.092184335715537e-003	-6.006783e-001	-5.732419e-001	-6.340884e-001	1.310957e+000	1.283242e+000	-2.863081e-002	-5.468490e-001
1.101949960715537e-003	-6.412112e-001	-6.087118e-001	-6.766343e-001	1.392074e+000	1.364632e+000	-2.610714e-002	-5.970905e-001
1.111715585715537e-003	-6.792073e-001	-6.417897e-001	-7.164997e-001	1.467720e+000	1.440527e+000	-2.344145e-002	-6.450849e-001
1.121481210715537e-003	-7.145257e-001	-6.723529e-001	-7.535370e-001	1.537616e+000	1.510643e+000	-2.064451e-002	-6.906512e-001
1.131246835715537e-003	-7.470356e-001	-7.002884e-001	-7.876089e-001	1.601502e+000	1.574721e+000	-1.772761e-002	-7.336181e-001
1.141012460715537e-003	-7.766168e-001	-7.254929e-001	-8.185895e-001	1.659142e+000	1.632524e+000	-1.470245e-002	-7.738237e-001
1.150778085715537e-003	-8.031600e-001	-7.478733e-001	-8.463644e-001	1.710325e+000	1.683837e+000	-1.158114e-002	-8.111169e-001
1.160543710715537e-003	-8.265674e-001	-7.673473e-001	-8.708311e-001	1.754860e+000	1.728472e+000	-8.376144e-003	-8.453573e-001
1.170309335715537e-003	-8.467528e-001	-7.838432e-001	-8.918999e-001	1.792585e+000	1.766265e+000	-5.100234e-003	-8.764160e-001
1.180074960715537e-003	-8.636425e-001	-7.973009e-001	-9.094934e-001	1.823361e+000	1.797076e+000	-1.766438e-003	-9.041759e-001
1.189840585715537e-003	-8.771747e-001	-8.076714e-001	-9.235477e-001	1.847078e+000	1.820793e+000	1.612005e-003	-9.285328e-001
1.199606210715537e-003	-8.873007e-001	-8.149174e-001	-9.340119e-001	1.863649e+000	1.837331e+000	5.021696e-003	-9.493948e-001
1.209371835715537e-003	-8.939841e-001	-8.190135e-001	-9.408486e-001	1.873016e+000	1.846631e+000	8.449126e-003	-9.666836e-001
1.219137460715537e-003	-8.972017e-001	-8.199457e-001	-9.440341e-001	1.875148e+000	1.848661e+000	1.188073e-002	-9.803340e-001
1.228903085715537e-003	-8.969433e-001	-8.177124e-001	-9.435585e-001	1.870041e+000	1.843418e+000	1.530293e-002	-9.902946e-001
1.238668710715537e-003	-8.932119e-001	-8.123235e-001	-9.394255e-001	1.857717e+000	1.830924e+000	1.870219e-002	-9.965280e-001
1.248434335715537e-003	-8.860233e-001	-8.038010e-001	-9.316528e-001	1.838226e+000	1.811229e+000	2.206508e-002	-9.990107e-001
1.258199960715537e-003	-8.754063e-001	-7.921786e-001	-9.202713e-001	1.811647e+000	1.784413e+000	2.537830e-002	-9.977334e-001
1.277731210715537e-003	-8.440674e-001	-7.598269e-001	-8.868750e-001	1.737661e+000	1.709854e+000	3.180359e-002	-9.839318e-001
1.297262460715537e-003	-7.996807e-001	-7.157674e-001	-8.397539e-001	1.636901e+000	1.608397e+000	3.787646e-002	-9.553311e-001
1.316793710715537e-003	-7.429278e-001	-6.606753e-001	-7.796315e-001	1.510910e+000	1.481591e+000	4.350076e-002	-9.123612e-001
1.336324960715537e-003	-6.746761e-001	-5.953910e-001	-7.074264e-001	1.361610e+000	1.331369e+000	4.858716e-002	-8.556686e-001
1.355856210715537e-003	-5.959651e-001	-5.209082e-001	-6.242387e-001	1.191274e+000	1.160015e+000	5.305456e-002	-7.861059e-001
1.375387460715537e-003	-5.079919e-001	-4.383585e-001	-5.313333e-001	1.002490e+000	9.701306e-001	5.683126e-002	-7.047195e-001
1.394918710715537e-003	-4.120924e-001	-3.489949e-001	-4.301209e-001	7.981224e-001	7.645948e-001	5.985607e-002	-6.127335e-001
1.414449960715537e-003	-3.097214e-001	-2.541721e-001	-3.221371e-001	5.812705e-001	5.465219e-001	6.207920e-002	-5.115313e-001
1.433981210715537e-003	-2.024306e-001	-1.553270e-001	-2.090187e-001	3.552201e-001	3.192144e-001	6.346302e-002	-4.026353e-001
1.453512460715537e-003	-9.184573e-002	-5.395682e-002	-9.247959e-002	1.233949e-001	8.611302e-002	6.398261e-002	-2.876832e-001
1.463278085715537e-003	-3.584013e-002	-2.803575e-003	-3.347756e-002	6.411633e-003	-3.151000e-002	6.391412e-002	-2.284736e-001
1.482809335715537e-003	7.653715e-002	9.947107e-002	8.487444e-002	-2.274820e-001	-2.666757e-001	6.311938e-002	-1.077008e-001
1.502340585715537e-003	1.879843e-001	2.004136e-001	2.021968e-001	-4.583293e-001	-4.987704e-001	6.145578e-002	1.469197e-002
1.512106210715537e-003	2.428306e-001	2.499065e-001	2.599155e-001	-5.715154e-001	-6.125656e-001	6.030428e-002	7.592073e-002
1.521871835715537e-003	2.968142e-001	2.984962e-001	3.167135e-001	-6.826362e-001	-7.242829e-001	5.894456e-002	1.368637e-001
1.541403085715537e-003	4.013793e-001	3.922345e-001	4.266908e-001	-8.970077e-001	-9.398016e-001	5.561982e-002	2.569770e-001
1.560934335715537e-003	5.000966e-001	4.802092e-001	5.304636e-001	-1.098199e+000	-1.142066e+000	5.152798e-002	3.732250e-001
1.580465585715537e-003	5.914711e-001	5.610884e-001	6.264604e-001	-1.283163e+000	-1.328013e+000	4.672706e-002	4.838594e-001
1.599996835715537e-003	6.741186e-001	6.336470e-001	7.132269e-001	-1.449098e+000	-1.494830e+000	4.128587e-002	5.872161e-001
1.619528085715537e-003	7.467864e-001	6.967851e-001	7.894480e-001	-1.593490e+000	-1.639988e+000	3.528289e-002	6.817405e-001
